elapsed_time(s),inner_steps,outer_steps,pd_gap
2.1493e-5,0,1,0.01689531624479761
0.437072,9484,11,0.010124088523580642
0.463092,14782,21,0.007327051167400202
0.48476,19116,31,0.0058187497549034226
0.503558,22809,41,0.0049086739678566756
0.520158,26052,51,0.004260952464501708
0.535132,28946,61,0.0037842973713586945
0.548939,31580,71,0.003414968818491824
0.561877,34020,81,0.003125748701828775
0.572612,36155,91,0.002890773762624671
0.583638,38233,101,0.0026914959824015476
0.593153,40139,111,0.0025212611323877903
0.602953,41967,121,0.0023734807035540022
0.61195,43803,131,0.002242094045370402
0.620976,45500,141,0.002127714537480686
0.628982,47115,151,0.0020251573585488205
0.637673,48722,161,0.001936613543955884
0.644987,50212,171,0.0018572783858719077
0.65285,51679,181,0.0017847743202924517
0.660102,53158,191,0.0017205032210967398
0.666993,54549,201,0.0016652764366352456
0.674676,55993,211,0.0016147035645199554
0.681659,57407,221,0.0015669382832237625
0.688903,58742,231,0.0015227726867030889
0.695258,60005,241,0.0014820406660705169
0.701743,61304,251,0.0014462804813594153
0.708769,62583,261,0.0014169753862609182
0.714752,63783,271,0.0013910481894983152
0.720811,64989,281,0.0013672649419915767
0.72778,66261,291,0.0013443144498583859
0.733965,67508,301,0.0013223366889416471
0.739778,68677,311,0.001301014377903191
0.746219,69826,321,0.0012803041465321227
0.751867,70947,331,0.0012602110678481618
0.757452,72069,341,0.001240852438861021
0.763713,73190,351,0.0012215311718617086
0.769324,74301,361,0.001202508897329051
0.774691,75384,371,0.001184356767593665
0.780727,76444,381,0.0011666743694578197
0.786078,77493,391,0.0011508913682459938
0.791298,78546,401,0.001136103933189676
0.796265,79550,411,0.0011226560742829909
0.801989,80563,421,0.0011108854421838128
0.80707,81589,431,0.0010993743204586182
0.811905,82570,441,0.0010876675865967786
0.817265,83533,451,0.0010757660649609677
0.822216,84532,461,0.0010636909266518828
0.826927,85477,471,0.0010517832181409382
0.831726,86441,481,0.001039758550366995
0.837066,87384,491,0.0010275190301835858
0.841631,88306,501,0.0010154478039871104
0.846286,89227,511,0.0010034983848922988
0.851034,90155,521,0.0009926953881255647
0.856322,91070,531,0.000981666742998039
0.860827,91965,541,0.0009706687924623258
0.865522,92899,551,0.0009594012569749122
0.869993,93790,561,0.0009481006165678475
0.875086,94687,571,0.0009370014041955796
0.879462,95571,581,0.0009258630522496567
0.883826,96454,591,0.0009155672758859347
0.888317,97360,601,0.0009054178417447125
0.893295,98243,611,0.00089595217434108
0.89758,99110,621,0.0008867731257195411
0.901908,99983,631,0.0008777136680036459
0.906144,100840,641,0.0008687311524139922
0.911135,101714,651,0.0008597961611660696
0.915425,102575,661,0.0008510100376939618
0.91967,103432,671,0.00084232562374352
0.923817,104270,681,0.0008335479205436817
0.928593,105098,691,0.0008249552323080379
0.932732,105932,701,0.0008163878925516264
0.936928,106779,711,0.0008078484549035141
0.941114,107612,721,0.0007994478486541019
0.945838,108435,731,0.0007912261726652752
